%Borehole 1505 (Conventional Method)
%Measured in 2015 by C.Pickler, J.C.Mareschal, A.Chacon-Oecklers, H. Beltrami, F.Su�rez, N. Blin, and M.T.Corte

%Location 26.75556S    69.89389W

   2.5715019e+01   2.4175387e+01
   3.4286692e+01   2.3728687e+01
   4.2858365e+01   2.3664555e+01
   5.1430038e+01   2.3600633e+01
   6.0001711e+01   2.3576716e+01
   7.7145057e+01   2.3596645e+01
   8.5716730e+01   2.3700604e+01
   9.4288403e+01   2.3829316e+01
   1.0286008e+02   2.3967009e+01
   1.1143175e+02   2.4056625e+01
   1.2000342e+02   2.4191825e+01
   1.2857510e+02   2.4307281e+01
   1.3714677e+02   2.4431748e+01
   1.4571844e+02   2.4548640e+01
   1.5429011e+02   2.4662029e+01
   1.6286179e+02   2.4784560e+01
   1.7143346e+02   2.4886555e+01
   1.8000513e+02   2.5001945e+01
   1.8857681e+02   2.5161202e+01
   1.9714848e+02   2.5269558e+01
   2.0572015e+02   2.5378526e+01
   2.1429183e+02   2.5501309e+01
   2.2286350e+02   2.5624881e+01
   2.3143517e+02   2.5784938e+01
   2.4000684e+02   2.5901372e+01
   2.4857852e+02   2.6013999e+01
   2.5715019e+02   2.6140933e+01
   2.6572186e+02   2.6254984e+01
   2.7429354e+02   2.6369719e+01
   2.8286521e+02   2.6503681e+01
   2.9143688e+02   2.6638589e+01
   3.0000856e+02   2.6769756e+01
   3.0858023e+02   2.6892365e+01
   3.1715190e+02   2.7011007e+01
   3.2572357e+02   2.7125600e+01
   3.3429525e+02   2.7240885e+01
   3.4286692e+02   2.7356870e+01
   3.5143859e+02   2.7458937e+01
   3.6001027e+02   2.7571354e+01
   3.6858194e+02   2.7709108e+01
   3.7715361e+02   2.7823009e+01
   3.8572529e+02   2.7942589e+01
   3.9429696e+02   2.8088084e+01
   4.0286863e+02   2.8204266e+01
   4.1144030e+02   2.8316059e+01
   4.2001198e+02   2.8433633e+01
